Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,-0.0677852,6.1289,0.01,0.15461,9.92618e-05,601.005,1.98059
window 1,0.0781437,5.78173,0.01,0.171427,0.000110016,605.083,2.02024
window 2,0.0349598,5.94277,0.01,0.174472,0.000107934,600.422,2.13986
window 3,0.0235793,5.9034,0.01,0.172726,0.0001068,602.296,2.01646
window 4,0.026532,5.89413,0.01,0.172271,0.000107559,600.417,2.37205
window 5,-0.0185434,5.92726,0.01,0.165238,0.000106608,601.784,2.26073
window 6,0.0403719,5.8332,0.01,0.164489,0.000108574,600.277,1.04783
window 7,0.0216732,5.86353,0.01,0.166751,0.000108915,619.728,1.18871
window 8,0.0133851,5.9416,0.01,0.165289,0.000107513,600.865,1.3849
window 9,-0.00466215,5.99828,0.01,0.146818,0.000107712,600.225,1.19584
window 10,0.0204187,6.0141,0.01,0.167805,0.000106447,600.226,0.905851
window 11,0.0331679,6.03704,0.01,0.176086,8.99298e-05,600.402,0.720892
window 12,0.012405,6.09318,0.01,0.164493,8.79689e-05,600.321,0.565467
window 13,0.0455034,6.14413,0.01,0.140569,8.58669e-05,600.265,0.733918
window 14,-0.0581997,6.24985,0.01,0.171855,7.59866e-05,600.27,1.61198
window 15,-0.0679805,5.87885,0.01,0.155513,8.49167e-05,600.244,1.44823
window 16,0.0928714,5.55696,0.01,0.142735,9.99812e-05,600.4,1.11295
window 17,0.0687858,5.67432,0.01,0.130573,0.000101701,600.331,1.41228
window 18,-0.0224083,5.7305,0.01,0.125556,0.000101725,600.23,1.552
window 19,0.114227,5.77542,0.01,0.0961657,9.65292e-05,600.249,1.5694
window 20,0.0707911,5.86842,0.01,0.0939813,9.64776e-05,600.52,1.50362
window 21,-0.0222926,5.94,0.01,0.0941101,9.46672e-05,600.349,1.90068
window 22,-0.0138056,5.79067,0.01,0.103663,9.68634e-05,600.459,1.6265
window 23,0.0720899,5.67902,0.01,0.0919709,9.80299e-05,600.454,2.20785
window 24,0.031498,5.76116,0.01,0.122027,9.58295e-05,600.44,2.19045
window 25,-0.0275979,5.79719,0.01,0.111588,9.78875e-05,600.478,2.01242
window 26,-0.00993161,5.67325,0.01,0.100795,0.000111289,600.475,1.81479
window 27,0.0495633,5.61981,0.01,0.11231,0.000112662,600.411,1.79101
window 28,0.0416297,5.62358,0.01,0.10424,0.000111099,600.404,1.92106
window 29,-0.00930609,5.67349,0.01,0.128326,0.000109777,600.711,2.12301
window 30,0.0244626,5.61184,0.01,0.119431,0.000109121,600.614,1.58607
window 31,0.0376689,5.61327,0.01,0.122276,0.000109821,600.804,1.63727
window 32,0.0240498,5.78989,0.01,0.0779904,0.000110054,600.546,1.93671
window 33,-0.0437623,5.80171,0.01,0.0907475,0.000108871,600.456,1.83481
window 34,0.101995,5.57118,0.01,0.100298,0.00012115,600.486,1.6444
window 35,-0.0224655,5.62748,0.01,0.105164,0.000118517,600.569,1.44148
window 36,0.062106,5.53319,0.01,0.0965623,0.000119769,600.466,1.47442
window 37,-0.0867743,5.62473,0.01,0.11291,0.000120187,600.533,1.31332
window 38,-0.0229951,5.21696,0.01,0.113224,0.000136716,600.58,1.60331
window 39,0.0542164,5.19338,0.01,0.103065,0.000140846,600.513,0.891436
window 40,-0.0696365,5.54364,0.01,0.111809,0.000127017,600.454,1.13872
window 41,-0.000941694,5.39672,0.01,0.134706,0.00011629,600.467,1.20266
window 42,-0.0507643,5.52491,0.01,0.119156,0.000110788,600.453,1.65001
window 43,0.0962351,5.29814,0.01,0.126463,0.000118161,600.499,1.58503
window 44,-0.0453515,5.4198,0.01,0.103846,0.000115192,600.45,1.00738
window 45,-0.0618115,5.23993,0.01,0.0738598,0.000121297,600.339,1.26742
window 46,0.0856009,4.97107,0.01,0.10394,0.000139248,600.642,1.17041
window 47,0.0200905,5.08165,0.01,0.0963709,0.000132388,600.482,1.13684
window 48,-0.0717837,5.08855,0.01,0.0970305,0.00013068,600.486,0.974091
window 49,0.0226418,4.83511,0.01,0.083658,0.000143887,600.468,0.801498
window 50,-0.0129248,4.80844,0.01,0.0806088,0.000147821,600.401,1.04191
window 51,0.0359685,4.75504,0.01,0.0957973,0.000146959,600.584,1.07626
window 52,0.008643,4.71507,0.01,0.0955757,0.000144371,600.497,1.34732
window 53,-0.0155991,4.71772,0.01,0.0977905,0.00014634,600.463,1.17108
window 54,0.0555013,4.67591,0.01,0.102195,0.000153236,600.359,1.1123
window 55,0.00651929,4.69912,0.01,0.07942,0.000141267,600.304,1.10672
window 56,-0.0217977,4.70369,0.01,0.0792267,0.000144864,600.471,1.07697
window 57,-0.0399851,4.62363,0.01,0.0713421,0.000140196,600.28,1.05512
window 58,-0.0428962,4.47638,0.01,0.0859271,0.00015222,600.407,0.621839
window 59,0.0714,4.37348,0.01,0.0964815,0.000153787,600.649,0.728185
window 60,0.0393786,4.41267,0.01,0.106683,0.000150894,600.573,0.763534
window 61,0.00185086,4.4218,0.01,0.104031,0.000149223,600.522,0.812387
window 62,0.0348187,4.41586,0.01,0.105088,0.000149143,600.352,0.852334
