Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,-0.0691038,6.09169,0.01,0.169912,4.32162e-05,600.559,2.04401
window 1,0.0809556,5.74686,0.01,0.180197,4.88182e-05,600.243,1.94611
window 2,0.0333875,5.92324,0.01,0.172641,4.75551e-05,600.409,1.81818
window 3,0.0218788,5.86795,0.01,0.178263,4.75565e-05,600.419,1.96518
window 4,0.0247924,5.87468,0.01,0.172135,4.76383e-05,600.389,2.05203
window 5,-0.0177966,5.90047,0.01,0.154393,4.79843e-05,600.444,2.05767
window 6,0.0403491,5.80344,0.01,0.161599,4.82144e-05,600.411,0.932731
window 7,0.0193749,5.84392,0.01,0.161452,4.79784e-05,600.419,0.873911
window 8,0.0142285,5.90303,0.01,0.157876,4.814e-05,600.566,1.40668
window 9,-0.00478625,5.96926,0.01,0.136174,4.76563e-05,600.35,1.06671
window 10,0.0238836,5.98001,0.01,0.163071,4.67766e-05,600.31,0.969408
window 11,0.033138,6.00935,0.01,0.174214,4.04525e-05,600.358,0.730158
window 12,0.0123913,6.06578,0.01,0.174068,3.96462e-05,600.31,0.602688
window 13,0.043072,6.11777,0.01,0.157874,3.88082e-05,600.218,0.717088
window 14,-0.0555807,6.22587,0.01,0.138838,3.35146e-05,600.27,1.61071
window 15,-0.0659829,5.85466,0.01,0.152601,3.74224e-05,600.319,1.39907
window 16,0.0922016,5.52722,0.01,0.13476,4.45095e-05,600.239,1.13607
window 17,0.0702199,5.64538,0.01,0.129142,4.56946e-05,600.49,1.41619
window 18,-0.0214443,5.70011,0.01,0.133599,4.54288e-05,600.332,1.60472
window 19,0.114313,5.74724,0.01,0.0972797,4.34623e-05,600.326,1.58825
window 20,0.0707571,5.83976,0.01,0.0955526,4.34409e-05,600.547,1.51642
window 21,-0.0222378,5.91092,0.01,0.0954203,4.23532e-05,600.33,1.96695
window 22,-0.0157487,5.76362,0.01,0.103217,4.3511e-05,600.312,1.59835
window 23,0.0704777,5.65409,0.01,0.0897505,4.44585e-05,600.457,2.12398
window 24,0.0349594,5.72698,0.01,0.106817,4.40917e-05,600.292,2.27663
window 25,-0.0276482,5.76526,0.01,0.112668,4.28096e-05,600.27,2.06242
window 26,-0.0190346,5.6514,0.01,0.107195,4.9024e-05,600.382,1.6699
window 27,0.0501792,5.58721,0.01,0.109973,5.07686e-05,600.386,1.8222
window 28,0.043924,5.58849,0.01,0.116515,5.02983e-05,600.516,1.99824
window 29,-0.0123252,5.63654,0.01,0.121739,4.98485e-05,600.267,2.22576
window 30,0.0204925,5.57668,0.01,0.12207,4.96335e-05,600.283,1.66331
window 31,0.0368352,5.58723,0.01,0.122778,4.95789e-05,600.372,1.53911
window 32,0.0212273,5.76386,0.01,0.0947321,5.12486e-05,600.384,1.82753
window 33,-0.0424045,5.76312,0.01,0.0818519,5.0275e-05,600.347,1.95927
window 34,0.103464,5.54527,0.01,0.100567,5.57322e-05,600.312,1.5515
window 35,-0.0219521,5.59888,0.01,0.0991694,5.08999e-05,600.332,1.38655
window 36,0.0620211,5.49975,0.01,0.100557,5.35404e-05,600.234,1.53
window 37,-0.0837596,5.59943,0.01,0.113355,5.36943e-05,600.247,1.21904
window 38,-0.0183843,5.18862,0.01,0.114476,5.89069e-05,600.291,1.58158
window 39,0.048858,5.16167,0.01,0.111961,6.59118e-05,600.245,0.903923
window 40,-0.0697989,5.51048,0.01,0.111522,5.83991e-05,600.258,1.14987
window 41,-0.00654885,5.36723,0.01,0.130729,5.21557e-05,600.457,1.19023
window 42,-0.0536244,5.49258,0.01,0.120292,4.8941e-05,600.29,1.71341
window 43,0.0951615,5.26678,0.01,0.124631,5.18062e-05,600.342,1.634
window 44,-0.0454055,5.39096,0.01,0.115402,5.08624e-05,600.381,0.989993
window 45,-0.0639733,5.20922,0.01,0.0879874,5.26336e-05,600.268,1.30442
window 46,0.0752904,4.94764,0.01,0.102825,5.98688e-05,600.367,1.02478
window 47,0.0227113,5.05342,0.01,0.0900116,5.90364e-05,600.425,1.086
window 48,-0.0714026,5.05748,0.01,0.0981239,5.63029e-05,600.394,0.981992
window 49,0.0248744,4.80205,0.01,0.093273,6.30546e-05,600.454,0.855886
window 50,-0.0156512,4.77846,0.01,0.0826902,6.53555e-05,600.415,1.02921
window 51,0.0317303,4.72278,0.01,0.0980871,6.42752e-05,600.266,1.08912
window 52,0.0072474,4.68677,0.01,0.104988,6.4227e-05,600.25,1.2679
window 53,-0.0151951,4.68438,0.01,0.102989,6.43056e-05,600.352,1.21274
window 54,0.0562978,4.64166,0.01,0.0940229,6.9062e-05,600.331,1.16923
window 55,0.00800391,4.67226,0.01,0.0719584,6.37333e-05,600.272,1.04437
window 56,-0.0227738,4.67426,0.01,0.0746144,6.3961e-05,600.477,1.07515
window 57,-0.0380124,4.59353,0.01,0.0702684,6.34305e-05,600.308,1.07781
window 58,-0.0420262,4.4468,0.01,0.0834971,6.80697e-05,600.365,0.628825
window 59,0.0735181,4.3462,0.01,0.103746,6.8591e-05,600.427,0.700098
window 60,0.0374751,4.38427,0.01,0.104148,6.81407e-05,600.343,0.747829
window 61,0.00154185,4.39328,0.01,0.103842,6.78878e-05,604.549,0.812941
window 62,0.0359337,4.38312,0.01,0.0996384,6.73351e-05,600.251,0.988013
