Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,0.80851,533.837,0.01,0.042671,0,602.357,32778.3
window 1,-0.0271121,704.384,0.01,0.0429052,0,601.772,25238.2
window 2,-0.00129847,474.871,0.01,0.0545858,0,602.464,33673.1
window 3,0.0102729,431.21,0.01,0.066919,0,601.773,34976
window 4,-0.0354521,438.785,0.01,0.0613512,0,602.341,35263.2
window 5,0.0405862,393.098,0.01,0.0513066,-2.35125e-20,602.04,38406.5
window 6,-0.0136666,404.215,0.01,0.0497944,0,601.999,44021.6
window 7,0.92969,567.622,0.01,0.0575415,0,601.927,30958
window 8,-0.0422773,451.098,0.01,0.0377801,0,602.281,37479.9
window 9,0.00502184,438.672,0.01,0.049019,0,601.399,32986
window 10,0.00479151,515.712,0.01,0.0532578,0,601.049,25636.9
window 11,0.00457653,406.975,0.01,0.0559953,0,601.102,34833
window 12,0.00143176,363.712,0.01,0.0520549,0,601.095,36999.1
window 13,-0.0347299,374.885,0.01,0.0490966,0,601.318,34535.8
window 14,-0.0990455,376.366,0.01,0.0637049,0,600.987,34780.9
window 15,-0.0317539,292.531,0.01,0.0388797,0,601.087,32226.9
window 16,0.0488009,265.648,0.01,0.0443611,0,601.003,42758.3
window 17,0.0360871,263.939,0.01,0.0704498,0,601.015,43495.8
window 18,0.00291861,359.94,0.01,0.0532848,0,601.056,34976.8
window 19,0.0156751,526.075,0.01,0.0590041,0,600.974,29925.7
window 20,0.0200458,378.602,0.01,0.0603444,0,601.097,23399.3
window 21,0.940099,391.204,0.01,0.0668302,0,601.888,37438.6
window 22,0.00818612,397.07,0.01,0.0598625,0,601.088,39680.6
window 23,0.0135528,548.706,0.01,0.0553924,0,601.031,30083.1
window 24,0.0208008,516.945,0.01,0.0565673,0,600.96,31919.1
window 25,0.0379582,476.34,0.01,0.0544696,0,601.222,29004.7
window 26,0.000220841,434.581,0.01,0.0593061,0,601.129,34937
window 27,0.0130695,397.518,0.01,0.0468771,0,601.183,35789.8
window 28,0.0191349,398.568,0.01,0.0663312,0,600.964,37789.1
window 29,0.00212762,411.155,0.01,0.071106,0,600.965,36239.9
window 30,0.019369,428.158,0.01,0.0612357,0,600.968,33874.2
window 31,-0.0330813,555.938,0.01,0.0613188,0,601.263,24738.7
window 32,0.929115,315.114,0.01,0.0641293,0,600.947,46216.2
window 33,-0.00788781,459.446,0.01,0.0457816,-5.85251e-20,600.986,28095.2
window 34,-0.022629,381.509,0.01,0.042539,0,601.002,33028
window 35,0.0228664,417.194,0.01,0.0694319,0,601.328,29816.6
window 36,-0.0110115,395.818,0.01,0.0580279,0,601.274,32746.8
window 37,0.00515254,403.645,0.01,0.0664453,0,601.022,30270.7
window 38,0.0464753,409.038,0.01,0.0480926,0,601.3,31566.4
window 39,0.00321593,373.084,0.01,0.0666236,0,601.006,34432.8
window 40,0.0189111,339.135,0.01,0.0601035,0,601.219,36926.1
window 41,0.0260022,372.349,0.01,0.0463029,0,601.129,35226.1
window 42,0.000819995,416.637,0.01,0.0538307,0,600.999,34208.8
window 43,0.041882,374.85,0.01,0.0498365,0,601.054,31243.7
window 44,0.00866069,441.505,0.01,0.0697664,0,601.005,32528.7
window 45,0.00156322,366.4,0.01,0.0570145,0,601.268,33411.4
window 46,-0.000764634,386.624,0.01,0.0603669,0,601.46,33402.9
window 47,0.00728842,391.992,0.01,0.0645904,0,601.721,36569.5
window 48,-0.00231262,339.642,0.01,0.0534742,0,601.684,38784.7
window 49,-0.025135,286.089,0.01,0.0652776,0,601.048,42071.5
window 50,0.0127808,382.787,0.01,0.0689362,0,601.184,33551.1
