Window,Return,Omega,Min weight,Max weight,L,Time,Gap
window 0,-0.019785,1.48833,0.01,0.340658,0.000319284,12.402,0.0099598
window 1,-0.014488,1.50001,0.01,0.316263,0.000310823,11.192,0.00989995
window 2,0.0328995,1.50323,0.01,0.387087,0.000292292,24.208,0.00922242
window 3,-0.0401257,1.50246,0.01,0.340896,0.0002976,6.677,0.00725866
window 4,0.00537755,1.48619,0.01,0.279054,0.000291464,1.643,0
window 5,0.0221034,1.49775,0.01,0.289249,0.000314106,16.778,0.00811154
window 6,0.00412119,1.50174,0.01,0.359839,0.000317864,9.344,0.00787934
window 7,0.0309257,1.49604,0.01,0.319845,0.000327198,7.117,0.00985615
window 8,0.044672,1.51269,0.01,0.313433,0.000328867,8.072,0.00925453
window 9,0.0262715,1.54794,0.01,0.312515,0.000332345,9.742,0.00991619
window 10,-0.0108491,1.53927,0.01,0.284101,0.000312714,9.887,0.0095985
window 11,-0.00530613,1.53423,0.01,0.28307,0.000297949,12.323,0.00964316
window 12,0.0400487,1.52124,0.01,0.358974,0.000306548,9.414,0.00989917
window 13,0.00198465,1.53398,0.01,0.355248,0.00029138,10.701,0.00966934
window 14,-0.0709946,1.54039,0.01,0.33383,0.000284672,8.174,0.00899126
window 15,0.0270385,1.50931,0.01,0.355832,0.000298221,8.201,0.00961833
window 16,0.0195673,1.55405,0.01,0.385293,0.000300103,8.007,0.00962603
window 17,-0.00487954,1.56937,0.01,0.334559,0.000312395,2.553,0.00946024
window 18,-0.000337562,1.54646,0.01,0.344235,0.000317119,2.335,0.0095359
window 19,0.103387,1.54257,0.01,0.257753,0.000315544,2.554,0.0086309
window 20,-0.0285868,1.61194,0.01,0.257268,0.000316287,1.847,0.00493612
window 21,-0.0252261,1.62967,0.01,0.288176,0.000319189,1.727,0.00329985
window 22,0.00382195,1.58776,0.01,0.283078,0.000315287,1.484,0.00691421
window 23,-0.0210317,1.58955,0.01,0.303562,0.000326363,1.74,0.00623588
window 24,0.0150719,1.61195,0.01,0.264422,0.000313736,1.533,0.00134449
window 25,0.0185578,1.59035,0.01,0.242924,0.00030993,1.734,0
window 26,0.0312457,1.57063,0.01,0.284793,0.0003107,2.774,0.0085044
window 27,0.0381847,1.58003,0.01,0.335968,0.000299059,7.245,0.00938178
window 28,-0.0238083,1.6114,0.01,0.39103,0.000275783,2.056,0.00964927
window 29,0.0435705,1.58859,0.01,0.299771,0.000276253,1.689,0.00641132
window 30,0.0644145,1.61416,0.01,0.355568,0.000275075,2.728,0.00909374
window 31,-0.0153683,1.69301,0.01,0.367696,0.000252373,3.287,0.00760496
window 32,-0.0320108,1.67721,0.01,0.292156,0.000261006,1.471,0
window 33,-0.0223891,1.64415,0.01,0.30002,0.000258601,0.807,0.00692332
window 34,-0.00438347,1.63949,0.01,0.257833,0.000250678,0.922,0.00901221
window 35,0.0257784,1.63919,0.0395556,0.235578,0.000252989,0.456,0.00212386
window 36,-1.77261e-06,1.66906,0.01,0.267567,0.00025069,0.773,0.00324817
window 37,-0.0222449,1.68602,0.0379175,0.234182,0.000247349,0.586,0.00323462
window 38,-0.00149029,1.65774,0.022935,0.212217,0.000259475,0.331,0
window 39,-0.0149708,1.63899,0.0199056,0.197459,0.000255944,0.352,0
window 40,0.0299347,1.64453,0.01,0.231123,0.000246236,0.538,0.0014396
window 41,0.0289269,1.65699,0.01,0.220568,0.00024925,0.544,0.00254595
window 42,0.0181047,1.66476,0.013004,0.203813,0.00025009,0.334,0
window 43,-0.00242785,1.67601,0.01,0.229883,0.000251827,0.894,0.00188375
window 44,-0.00504208,1.70278,0.030193,0.20716,0.000251249,0.85,0.00600256
window 45,-0.00466856,1.70257,0.0160474,0.243476,0.000251382,0.676,0.00270103
window 46,-0.0551611,1.71762,0.01,0.342935,0.000247958,0.693,0.00123821
window 47,-0.0366629,1.66455,0.01,0.212277,0.000260905,0.599,0.00988975
window 48,0.0356597,1.62273,0.0111093,0.274658,0.00025524,0.324,0
window 49,-0.0194513,1.63511,0.01,0.328163,0.000261027,1.468,0.00740497
window 50,0.035841,1.65038,0.01,0.253916,0.000257429,0.754,7.5978e-05
