Window,Return,Omega,Min weight,Max weight,L,Time,Gap
window 0,-0.0203242,1.51124,0.01,0.347958,0.000451633,10.37,0.00999175
window 1,-0.0144323,1.52067,0.01,0.320342,0.000432485,9.791,0.00996964
window 2,0.0330048,1.52194,0.01,0.392314,0.000400957,7.556,0.00962809
window 3,-0.0407625,1.52138,0.01,0.335105,0.000408657,7.356,0.00471613
window 4,0.0059367,1.50479,0.01,0.274467,0.000402008,1.962,0
window 5,0.0220052,1.51728,0.01,0.287942,0.000436823,7.983,0.00855157
window 6,0.00421458,1.52129,0.01,0.360929,0.000442516,9.021,0.00783089
window 7,0.0307731,1.51553,0.01,0.31946,0.000455766,6.543,0.00761025
window 8,0.0448727,1.5322,0.01,0.313098,0.000455929,7.958,0.00967765
window 9,0.0263041,1.56772,0.01,0.314505,0.000463198,9.671,0.00998092
window 10,-0.0108301,1.55899,0.01,0.289678,0.000435877,11.208,0.00964052
window 11,-0.00515659,1.554,0.01,0.285902,0.000416207,11.872,0.00994242
window 12,0.0401355,1.54094,0.01,0.351825,0.000430705,10.147,0.00992216
window 13,0.00193848,1.55364,0.01,0.355339,0.000406087,9.722,0.00939052
window 14,-0.0710454,1.55909,0.01,0.333562,0.000393748,8.251,0.00883253
window 15,0.0257332,1.52838,0.01,0.328731,0.000422583,8.106,0.00962992
window 16,0.0196229,1.57375,0.01,0.377595,0.000423134,7.281,0.00981527
window 17,-0.00509383,1.58928,0.01,0.339526,0.000439322,2.182,0.00850207
window 18,-1.82962e-05,1.56631,0.01,0.350596,0.000444998,2.523,0.00928008
window 19,0.103214,1.56235,0.01,0.258449,0.000442515,2.354,0.00844684
window 20,-0.0293809,1.63204,0.01,0.246246,0.000443357,1.781,0.00593242
window 21,-0.0244479,1.65014,0.01,0.283673,0.000447935,1.604,0.00300653
window 22,0.00417856,1.60757,0.01,0.278251,0.000442255,1.238,0.00706278
window 23,-0.0211369,1.60927,0.01,0.307746,0.000456812,1.645,0.00630541
window 24,0.0152166,1.63173,0.01,0.264559,0.000438464,1.265,0.00194889
window 25,0.0183117,1.61002,0.01,0.247504,0.000434422,1.354,0.00857967
window 26,0.0311419,1.58992,0.01,0.286409,0.000434155,2.265,0.00686946
window 27,0.0379849,1.59925,0.01,0.337495,0.000417795,6.503,0.00970342
window 28,-0.023956,1.63022,0.01,0.39429,0.000383989,1.945,0.00552379
window 29,0.0431314,1.60735,0.01,0.302529,0.000385448,1.656,0.00977896
window 30,0.0644928,1.63319,0.01,0.356884,0.000383039,2.183,0.00965547
window 31,-0.0153311,1.71163,0.01,0.367499,0.000351693,2.74,0.00987174
window 32,-0.032236,1.69577,0.01,0.291105,0.000364769,1.562,0
window 33,-0.021271,1.66253,0.01,0.286771,0.000360495,0.802,0.00620795
window 34,-0.00493479,1.65801,0.01,0.254719,0.000350163,1.383,0.00413039
window 35,0.0258604,1.6577,0.0373097,0.235711,0.000354784,0.463,0.00210648
window 36,-8.85362e-05,1.68787,0.01,0.266381,0.000353215,0.489,0.0019825
window 37,-0.0220589,1.70502,0.0371977,0.235188,0.00034897,0.667,0.00280848
window 38,-0.000688407,1.67661,0.017977,0.195388,0.000367667,0.33,0
window 39,-0.0148892,1.65779,0.0222741,0.198986,0.000361328,0.32,0
window 40,0.0299765,1.66346,0.01,0.235828,0.000348166,0.512,0.00226256
window 41,0.0289356,1.67611,0.01,0.225265,0.000352375,0.605,0.00588182
window 42,0.0179189,1.68396,0.0158102,0.206773,0.000353241,0.328,0
window 43,-0.00203531,1.69498,0.01,0.230741,0.000354556,0.88,0.000912977
window 44,-0.00496951,1.72177,0.0296741,0.207572,0.000355982,0.633,0.00586818
window 45,-0.00447568,1.72172,0.0175293,0.242327,0.000357447,0.878,0
window 46,-0.0559018,1.73686,0.01,0.336667,0.000355066,0.787,0.00797599
window 47,-0.0363487,1.68371,0.01,0.209842,0.000371322,0.576,0.00883227
window 48,0.0353133,1.64189,0.01,0.273308,0.000362614,0.487,0.00324213
window 49,-0.0183359,1.6542,0.01,0.321444,0.000369972,1.524,0.00740786
window 50,0.0363694,1.67006,0.01,0.250461,0.000366641,0.766,0.000223794
