Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,0.810701,586.054,0.01,0.0466041,0,601.168,31452.6
window 1,-0.0219337,634.259,0.01,0.0491517,0,601.02,28339.4
window 2,0.0123984,724.042,0.01,0.0655222,0,602.066,22913.7
window 3,0.022382,597.346,0.01,0.0537354,0,601.898,27245.3
window 4,-0.0163896,547.845,0.01,0.0540488,0,601.164,30014.6
window 5,0.0454316,469.589,0.01,0.04123,0,601.475,33272.1
window 6,-0.0154194,551.682,0.01,0.0438687,0,601.614,30098.9
window 7,0.933925,548.808,0.01,0.0509892,0,601.512,30967.7
window 8,-0.0470136,584.811,0.01,0.0493618,0,601.844,28827.1
window 9,0.00918224,399.685,0.01,0.0579888,0,601.751,31882.1
window 10,0.00394554,398.884,0.01,0.053038,0,601.996,32981
window 11,-0.00549316,456.675,0.01,0.0519075,0,601.948,32802.1
window 12,-0.00172824,444.799,0.01,0.0544482,3.06847e-20,601.829,33007.6
window 13,-0.045495,420.538,0.01,0.0525812,0,601.675,34501.5
window 14,-0.087476,413.381,0.01,0.0495808,0,601.848,25030.8
window 15,-0.0132906,384.601,0.01,0.0455493,0,602.276,27440.6
window 16,0.0526222,420.226,0.01,0.0605956,0,601.377,26176.7
window 17,0.0213962,405.094,0.01,0.0651651,0,601.651,24107.3
window 18,0.00776885,382.702,0.01,0.0579477,0,601.735,26040.1
window 19,0.0181327,448.386,0.01,0.0551688,0,602.179,29526.5
window 20,0.0083755,418.67,0.01,0.0571803,0,601.321,37378
window 21,0.015999,462.684,0.01,0.0572676,0,601.274,31784
window 22,0.0154123,316.245,0.01,0.0821216,0,601.58,44049.5
window 23,0.0248049,389.085,0.01,0.0449719,0,601.571,40087.1
window 24,0.0215425,462.519,0.01,0.0794013,0,601.967,33272.9
window 25,0.0400612,407.792,0.01,0.0652679,0,602.585,32406.4
window 26,-0.00249508,366.556,0.01,0.0549337,0,601.661,40842.5
window 27,0.0239234,430.062,0.01,0.059653,0,602.163,34945.6
window 28,0.0173587,386.969,0.01,0.0572506,0,601.456,33675.5
window 29,-0.00223313,435.989,0.01,0.0658872,0,603.131,32152.5
window 30,0.0171734,442.381,0.01,0.0452048,0,601.71,32621.9
window 31,-0.0254121,498.081,0.01,0.0603981,0,603.447,29101.4
window 32,0.919109,298.747,0.01,0.0805809,0,601.323,44167.1
window 33,0.00413808,385.367,0.01,0.0596547,0,600.985,35868.5
window 34,-0.0215216,366.907,0.01,0.0513601,0,600.914,35089.9
window 35,0.022022,337.819,0.01,0.0715526,0,601.536,35846
window 36,-0.00689339,330.672,0.01,0.0566748,0,602.01,44079.9
window 37,0.0156752,387.04,0.01,0.049413,-4.04897e-20,601.93,33191.2
window 38,0.035656,367.718,0.01,0.0689593,0,601.561,32712.8
window 39,0.0076377,385.796,0.01,0.0526538,0,601.739,31065.2
window 40,0.0222275,362.621,0.01,0.0477841,0,602.09,33737.8
window 41,0.0230068,452.515,0.01,0.0574804,0,601.555,29834.6
window 42,0.00113529,500.652,0.01,0.0592565,0,601.627,28042.6
window 43,0.0492505,420.111,0.01,0.0768419,0,601.821,30690.4
window 44,0.0191496,453.92,0.01,0.0657767,0,601.688,28496.4
window 45,0.0124713,379.927,0.01,0.0507736,0,601.58,33795.2
window 46,0.000544101,273.16,0.01,0.0853524,0,601.887,49527.8
window 47,0.0203466,425.766,0.01,0.0433366,0,601.954,29123.6
window 48,0.00479125,426.276,0.01,0.0552041,0,601.596,26317.8
window 49,-0.0216914,434.646,0.01,0.0519395,0,602.019,29765.7
window 50,0.0181637,369.492,0.01,0.0493661,0,601.552,26048.7
