Window,Return,Omega,Min weight,Max weight,L,Time,Gap
window 0,-0.0074823,8.23791,0.0152156,0.213879,0.012182,0.328,0
window 1,-0.012309,8.21953,0.01,0.198061,0.0121324,0.823,0.00956467
window 2,0.0204602,8.35089,0.01,0.215673,0.0120096,0.561,0.00534931
window 3,-0.0237487,8.32729,0.0150758,0.216873,0.0120096,0.732,0.00133511
window 4,0.00410228,8.36195,0.01,0.221017,0.0120989,2.107,0.00773194
window 5,0.0158288,8.24253,0.01,0.208549,0.0119797,2.106,0.00844941
window 6,0.00244154,8.25842,0.01,0.229725,0.0118848,1.483,0.00760591
window 7,0.00926748,8.28243,0.01,0.242427,0.0119062,1.455,0
window 8,0.00773665,8.28089,0.01,0.238202,0.0119062,1.555,0.0029033
window 9,0.0106068,8.23896,0.01,0.219373,0.0118424,1.818,0.00564867
window 10,-0.00972418,8.18781,0.01,0.229383,0.0118424,1.457,0.0044319
window 11,0.0027084,8.31511,0.01,0.250446,0.0117481,1.43,0
window 12,0.0159891,8.26282,0.01,0.250446,0.0117481,1.29,0
window 13,0.00418835,8.28436,0.01,0.250446,0.0117481,1.699,0
window 14,-0.0660517,8.19611,0.01,0.245688,0.0116343,1.634,0
window 15,0.0166744,7.84671,0.01,0.248767,0.0121116,0.977,0.00964242
window 16,-0.0067244,7.89918,0.01,0.235466,0.0119069,1.513,0.00160903
window 17,0.00219548,8.01962,0.01,0.250552,0.0117437,0.735,0.00909802
window 18,-0.0295399,7.94906,0.01,0.251607,0.0117455,0.703,0.00302944
window 19,0.0641282,7.94945,0.01,0.229809,0.0119649,1.326,0
window 20,-0.0204895,7.96793,0.01,0.236742,0.011831,1.069,0.00749992
window 21,-0.0078016,8.04477,0.0292522,0.229707,0.0115191,0.325,0
window 22,-0.0183278,8.03594,0.01,0.224084,0.0115258,0.56,1.11441e-05
window 23,0.00974369,7.90285,0.0205538,0.23366,0.0115036,0.324,0
window 24,0.0266764,7.92603,0.0422006,0.213006,0.0112565,1.084,0.0091207
window 25,-0.00240013,7.80373,0.0443737,0.210294,0.0112565,0.921,0.00189388
window 26,0.00763559,7.77782,0.041327,0.235028,0.0113624,0.672,0
window 27,0.00513978,7.77533,0.0487279,0.23756,0.0113624,0.898,0
window 28,0.0112984,7.60569,0.0495337,0.228704,0.0112036,0.744,0
window 29,0.0200251,7.67397,0.0463804,0.240768,0.0110666,0.798,0
window 30,0.0235589,7.65943,0.051874,0.239996,0.0110666,0.816,0
window 31,0.0114089,7.92594,0.0222601,0.254253,0.0105752,0.612,0
window 32,-0.0040185,7.93751,0.0198208,0.25296,0.010573,0.761,0
window 33,0.00981513,7.90393,0.0212098,0.274436,0.0105804,0.814,0
window 34,-0.00197098,7.79424,0.0298868,0.289296,0.0104458,0.767,0.000550637
window 35,0.0113018,7.70476,0.0240858,0.255958,0.0103291,0.74,0.00101439
window 36,0.0104276,7.73842,0.0226095,0.25245,0.0103288,0.339,0
window 37,-0.0124534,7.64139,0.0223024,0.288474,0.0100787,0.673,0.00043439
window 38,0.0123848,7.65488,0.0229368,0.270178,0.0101617,0.748,0.00477567
window 39,-0.00837861,7.65527,0.0238081,0.270585,0.0101617,0.673,0.00158135
window 40,0.00871874,7.67661,0.024199,0.271221,0.0101778,0.605,0
window 41,0.00899643,7.69262,0.0241633,0.273721,0.0101776,0.323,0
window 42,0.0191958,7.66694,0.0238438,0.270934,0.0101776,0.652,0.00796606
window 43,-0.0201723,7.69808,0.0225382,0.270323,0.0101776,0.7,0.00442894
window 44,-0.00436211,7.69758,0.01291,0.303861,0.010022,0.835,0.00710791
window 45,-0.00133439,7.71566,0.01,0.284813,0.0099568,1.545,0
window 46,-0.0309514,7.76002,0.01,0.305599,0.00990084,0.78,0.00827752
window 47,-0.0148886,7.5957,0.0257666,0.30964,0.0100914,1.167,0.00349574
window 48,0.0299022,7.59005,0.0169418,0.317788,0.0101752,1.132,0.00548187
window 49,-0.00632984,7.63972,0.01,0.319442,0.0101752,1.156,0.00784417
window 50,0.0117073,7.62431,0.01,0.319556,0.0101624,1.24,0.00714263
