Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,-0.074032,49.2496,0.01,0.0953528,0.0231633,400.388,0.367895
window 1,0.0713853,49.4238,0.01,0.149861,0.0231633,400.413,0.302889
window 2,0.0697339,49.5172,0.01,0.0736237,0.0236145,400.318,0.28904
window 3,0.0317026,49.3839,0.01,0.092552,0.0238548,400.366,0.480279
window 4,0.0408138,49.448,0.01,0.119005,0.0239783,400.354,0.428524
window 5,-0.0296087,49.5016,0.01,0.157671,0.0242368,400.624,0.281727
window 6,0.0705862,49.5421,0.01,0.0732163,0.0242368,400.42,0.654672
window 7,0.0169151,49.3324,0.01,0.0946426,0.0247353,400.463,0.527803
window 8,0.0256352,49.4073,0.01,0.111629,0.0247864,400.366,0.584022
window 9,0.0171841,49.4936,0.01,0.105759,0.0247379,400.544,0.551827
window 10,-0.0126243,49.3428,0.01,0.101196,0.024743,428.729,0.594555
window 11,0.0117265,48.9518,0.01,0.209409,0.0230139,400.501,0.678515
window 12,0.0401041,48.9056,0.01,0.195926,0.0230703,410.974,0.808035
window 13,0.0318647,48.6084,0.01,0.188522,0.0232729,410.638,0.605838
window 14,-0.0731508,48.9162,0.01,0.157673,0.0232705,415.719,0.411354
window 15,-0.0687026,48.9935,0.01,0.140322,0.0232645,400.306,0.291403
window 16,0.110123,49.3149,0.01,0.160085,0.0230207,400.207,0.813443
window 17,0.0464065,48.9923,0.01,0.142569,0.023747,400.308,0.610935
window 18,-0.00734789,48.9489,0.01,0.136718,0.0241177,400.262,0.478417
window 19,0.0576354,48.8595,0.01,0.156252,0.0239207,400.312,0.292978
window 20,0.00383377,49.0451,0.01,0.112499,0.024023,400.275,0.421805
window 21,-0.023338,48.942,0.01,0.115235,0.0240483,400.403,0.296149
window 22,-0.0139479,49.0458,0.01,0.112051,0.0238727,400.384,0.338604
window 23,0.088214,49.0279,0.01,0.115577,0.0237532,400.342,0.509137
window 24,0.0225955,48.9013,0.01,0.093696,0.0237282,400.422,0.366527
window 25,-0.00111334,48.7246,0.01,0.0980865,0.0237444,400.335,0.294477
window 26,-0.00447104,48.8266,0.01,0.0986753,0.0237475,400.462,0.383472
window 27,0.0931962,47.9328,0.01,0.166359,0.0215908,400.31,0.321997
window 28,0.0320954,47.8112,0.01,0.165802,0.0222715,400.278,0.238699
window 29,0.0366891,47.9108,0.01,0.160825,0.0224963,400.334,0.218757
window 30,0.00468397,47.9842,0.01,0.172954,0.0227735,400.354,0.332973
window 31,0.00425085,47.9815,0.01,0.160875,0.0227735,400.376,0.313345
window 32,0.000485219,47.9885,0.01,0.150259,0.0227735,400.365,0.302288
window 33,-0.0173931,47.9989,0.01,0.153294,0.0227735,400.397,0.287234
window 34,0.027485,48.0248,0.01,0.148667,0.0227735,400.431,0.300924
window 35,-0.0233094,48.0129,0.01,0.148277,0.0227163,400.363,0.326212
window 36,0.0669195,48.0757,0.01,0.13941,0.022712,400.447,0.258559
window 37,-0.00793818,47.9242,0.01,0.160149,0.0229893,400.434,0.358114
window 38,-0.0273648,47.9133,0.01,0.155872,0.0229893,400.353,0.300436
window 39,0.0418013,47.9701,0.01,0.159501,0.0229893,400.381,0.252752
window 40,-0.0213414,48.1048,0.01,0.13556,0.0233476,400.332,0.444514
window 41,0.0223835,48.0852,0.01,0.145626,0.0232842,400.436,0.400479
window 42,-0.0624103,47.5022,0.01,0.129343,0.0219914,400.379,0.446578
window 43,0.0570506,47.5749,0.01,0.138187,0.0219616,400.256,0.442487
window 44,-0.0110549,47.4793,0.01,0.132461,0.0222363,400.229,0.322747
window 45,-0.0752458,47.5205,0.01,0.124472,0.0221412,400.414,0.386633
window 46,0.0860121,47.6629,0.01,0.130075,0.0221412,400.329,0.399386
window 47,0.0559721,47.6127,0.01,0.132234,0.0226657,400.38,0.361516
window 48,-0.030777,47.6724,0.01,0.199663,0.0230513,400.409,0.478974
window 49,0.0240652,47.5754,0.01,0.124958,0.0230513,400.465,0.497863
window 50,-0.0250938,47.5712,0.01,0.150239,0.0227701,400.575,0.579328
window 51,0.0249242,47.6837,0.01,0.128278,0.0226556,400.539,0.443268
window 52,0.0132635,47.8854,0.01,0.177012,0.0227316,400.407,0.462724
window 53,-0.0587301,47.84,0.01,0.11897,0.0227946,400.464,0.41072
window 54,0.0478637,47.9225,0.01,0.108702,0.0227946,400.505,0.378971
window 55,0.0186534,47.9234,0.01,0.106924,0.0231298,400.348,0.373261
window 56,-0.0364127,48.0166,0.01,0.120464,0.0231928,400.287,0.406117
window 57,-0.0496266,48.0308,0.01,0.121635,0.0230911,400.264,0.399028
window 58,-0.0242744,48.1747,0.01,0.193254,0.0230452,400.188,0.454942
window 59,0.069146,48.2621,0.01,0.196718,0.0230235,400.353,0.488776
window 60,0.0332449,48.1754,0.01,0.200807,0.0235661,400.448,0.408331
window 61,-0.00812661,48.2685,0.01,0.210254,0.0236457,400.407,0.413169
window 62,0.00211733,48.1796,0.01,0.198096,0.0236457,400.297,0.345373
