Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,-0.0737154,44.053,0.01,0.14137,0.0142325,300.411,0.14319
window 1,0.0824583,44.0979,0.01,0.267402,0.0142325,300.358,0.140413
window 2,0.059736,44.1748,0.01,0.135936,0.0146137,300.335,0.137148
window 3,0.0160268,44.1816,0.01,0.203999,0.0148136,300.407,0.18111
window 4,0.0376761,44.1713,0.01,0.213229,0.0149165,300.535,0.183039
window 5,-0.0329924,44.1282,0.01,0.200566,0.0151109,300.42,0.126688
window 6,0.0775972,44.2611,0.01,0.125956,0.0151109,300.256,0.174634
window 7,0.0222897,44.1148,0.01,0.120248,0.0153526,300.26,0.117931
window 8,0.0135173,44.1623,0.01,0.126002,0.0154818,300.343,0.148306
window 9,0.0233729,44.1749,0.01,0.155566,0.0152666,300.409,0.144827
window 10,-0.0063255,44.1512,0.01,0.118927,0.0154424,300.353,0.149442
window 11,0.0208499,44.0161,0.01,0.220468,0.0141963,300.353,0.171406
window 12,0.0349476,44.0167,0.01,0.238741,0.0143751,300.374,0.154253
window 13,0.0463639,43.8283,0.01,0.216153,0.0145414,300.403,0.203628
window 14,-0.0714861,43.9205,0.01,0.1871,0.0144714,300.319,0.16729
window 15,-0.0627421,43.9101,0.01,0.118775,0.0142907,301.069,0.205738
window 16,0.123051,44.1074,0.01,0.16616,0.0141024,300.233,0.211214
window 17,0.0377644,44.0722,0.01,0.182401,0.0146213,400.296,0.228663
window 18,-0.0141622,44.032,0.01,0.112474,0.0149157,400.362,0.168015
window 19,0.051527,44.048,0.01,0.0974242,0.0148828,400.282,0.108183
window 20,0.00607694,44.2135,0.01,0.129201,0.0151038,400.438,0.147722
window 21,-0.0200402,44.1459,0.01,0.106367,0.0151614,400.397,0.0912981
window 22,0.00194234,44.2127,0.01,0.138004,0.0150564,400.246,0.129964
window 23,0.0971152,44.2341,0.01,0.130437,0.0149489,400.243,0.115617
window 24,0.0145754,44.186,0.01,0.153485,0.0148697,400.495,0.105542
window 25,0.0184243,44.1162,0.01,0.1387,0.0148667,400.432,0.130414
window 26,-0.00901092,44.1574,0.01,0.123242,0.0150072,400.384,0.124317
window 27,0.103992,44.1294,0.01,0.370168,0.0130237,400.417,0.208641
window 28,0.0307915,44.0767,0.01,0.341257,0.0135383,400.32,0.169621
window 29,0.0458174,44.1176,0.01,0.345504,0.0137277,400.338,0.19614
window 30,-0.00739322,44.0972,0.01,0.329108,0.0138355,400.467,0.177389
window 31,-0.00763071,44.0929,0.01,0.349416,0.0137987,400.336,0.173784
window 32,-0.0160993,44.081,0.01,0.34007,0.0137904,400.191,0.172284
window 33,-0.00913616,44.0867,0.01,0.342476,0.0137356,400.192,0.178734
window 34,0.0182338,44.0974,0.01,0.325524,0.0137093,400.196,0.171553
window 35,-0.0318386,44.0894,0.01,0.341318,0.0137119,400.197,0.152937
window 36,0.0665763,44.0761,0.01,0.334365,0.0136293,400.234,0.184
window 37,0.0272457,44.0589,0.01,0.343455,0.0138446,400.227,0.208679
window 38,-0.00870472,43.9982,0.01,0.315186,0.013858,400.168,0.21479
window 39,0.0582953,44.0222,0.01,0.31757,0.0138194,400.172,0.172635
window 40,-0.024059,44.0674,0.01,0.32323,0.0141571,400.21,0.190959
window 41,0.0440481,44.0761,0.01,0.307063,0.0141571,400.184,0.171697
window 42,-0.0723978,43.9546,0.01,0.217655,0.013235,400.308,0.187797
window 43,0.0577894,43.9943,0.01,0.242952,0.0131555,400.299,0.186678
window 44,-0.00581919,43.9934,0.01,0.241917,0.0135259,400.183,0.224657
window 45,-0.0870449,43.9895,0.01,0.236385,0.0133774,400.21,0.203513
window 46,0.094418,44.0323,0.01,0.230342,0.0132759,400.251,0.221287
window 47,0.0661768,44.0285,0.01,0.21425,0.0137586,400.228,0.195766
window 48,-0.0281198,43.9406,0.01,0.227535,0.0141363,400.391,0.285605
window 49,0.0294034,44.0397,0.01,0.223299,0.0141289,400.334,0.209813
window 50,-0.0355317,43.8923,0.01,0.210782,0.0140597,400.321,0.270759
window 51,0.0266801,44.0774,0.01,0.214969,0.0139425,400.259,0.227667
window 52,0.00377062,44.004,0.01,0.204337,0.0139626,400.347,0.188042
window 53,-0.0656809,44.0889,0.01,0.204136,0.0138662,400.255,0.186476
window 54,0.0523701,44.1129,0.01,0.204432,0.0138076,400.243,0.183311
window 55,0.0245639,44.0988,0.01,0.212281,0.0139795,400.309,0.149313
window 56,-0.0369168,44.0819,0.01,0.243473,0.0139789,400.329,0.202059
window 57,-0.0464317,44.102,0.01,0.223227,0.0138596,400.335,0.161234
window 58,-0.0178936,44.0387,0.01,0.276509,0.0137224,400.415,0.215052
window 59,0.0721717,44.0585,0.01,0.210273,0.013559,400.299,0.247416
window 60,0.0394384,44.0144,0.01,0.159416,0.0139112,400.354,0.24931
window 61,-0.0099186,44.0567,0.01,0.211108,0.0139807,400.501,0.224572
window 62,0.0100453,43.9682,0.01,0.190255,0.0139746,400.279,0.210064
