Window,Return,Omega,Min weight,Max weight,L,Time,Gap
window 0,-0.017659,2.51501,0.01,0.383743,0.00464493,1.33,0.00736014
window 1,-0.0147547,2.53499,0.01,0.348457,0.00462988,5.223,0.00855155
window 2,0.0246534,2.54831,0.01,0.275941,0.00454985,2.628,0.0074169
window 3,-0.0282586,2.53117,0.01,0.285576,0.00454985,6.755,0.00925076
window 4,0.00926499,2.54116,0.01,0.284417,0.00464802,2.596,0.00209114
window 5,0.0160855,2.53936,0.01,0.277792,0.00460577,6.253,0
window 6,-0.00149519,2.54691,0.01,0.254382,0.00458576,1.253,0.00106718
window 7,0.0288267,2.54993,0.01,0.250934,0.00462581,2.269,0.00642714
window 8,0.0264516,2.55578,0.01,0.25552,0.00460438,1.809,0
window 9,0.0304339,2.53964,0.01,0.262846,0.00444434,9.528,0.00918282
window 10,-0.0162105,2.53532,0.01,0.279118,0.00444434,9.039,0.00959495
window 11,-0.00136788,2.54198,0.01,0.224741,0.00440294,2.727,0
window 12,0.0319999,2.55694,0.01,0.225069,0.00450888,7.329,0.00969478
window 13,0.00255538,2.56299,0.01,0.227269,0.00446661,6.318,0.00852859
window 14,-0.0701448,2.56135,0.01,0.247174,0.00441122,3.061,0.00889506
window 15,0.0234288,2.50262,0.01,0.203295,0.00462478,1.728,0.00783291
window 16,0.000414288,2.49511,0.01,0.238378,0.00435167,3.745,0
window 17,-0.00447416,2.48461,0.01,0.23328,0.00425125,5.371,0.00809364
window 18,-0.00659842,2.48859,0.01,0.202495,0.00437257,1.8,0
window 19,0.080237,2.50925,0.01,0.207195,0.00447012,1.362,0
window 20,-0.0391941,2.53873,0.01,0.201637,0.00427412,1.154,0
window 21,-0.0294343,2.54793,0.0252799,0.189574,0.0042181,1.088,0
window 22,-0.0112335,2.5677,0.0118847,0.216031,0.00441661,1.055,0.00987484
window 23,0.00837301,2.56543,0.0387333,0.184637,0.00445311,0.861,0.00580016
window 24,0.0121683,2.57737,0.0259682,0.169361,0.00423878,0.836,0.00893363
window 25,0.00345088,2.53834,0.040081,0.180106,0.00427733,0.769,0
window 26,0.0203112,2.51862,0.0304296,0.242637,0.00434105,0.353,0
window 27,0.030067,2.50959,0.0204661,0.296085,0.00429723,0.78,0
window 28,-0.0062074,2.51696,0.01,0.275193,0.00412271,1.252,0.00314467
window 29,0.035636,2.53985,0.0248845,0.274665,0.00413854,1.963,0
window 30,0.0536631,2.54862,0.01,0.258521,0.00411027,0.782,0.00214895
window 31,-0.00389748,2.56238,0.01,0.24773,0.00370959,2.177,0.00309474
window 32,-0.0173216,2.54643,0.01,0.251884,0.00370135,0.957,0.00198996
window 33,-0.000803616,2.52635,0.0270423,0.263351,0.00374263,1.346,0
window 34,-0.0044676,2.53073,0.0167458,0.253839,0.00369804,0.985,0.00160785
window 35,0.0155531,2.50931,0.029894,0.221901,0.00363152,1.129,0.00960378
window 36,0.0068047,2.52247,0.0177603,0.279626,0.00358662,1.423,0
window 37,-0.0212364,2.5253,0.01,0.246951,0.00345158,1.344,0.00723923
window 38,0.00755962,2.5174,0.0371532,0.192292,0.00361939,1.542,0
window 39,-0.00465317,2.52821,0.0231116,0.207346,0.00366488,0.927,0.00817402
window 40,0.0188377,2.52929,0.0380014,0.194992,0.00365732,0.973,0.00951803
window 41,0.0244214,2.52494,0.035408,0.220892,0.00361589,1.587,0.00654998
window 42,0.0217618,2.53416,0.035317,0.222792,0.00361589,1.438,0.00698746
window 43,-0.0122951,2.52837,0.0312196,0.186148,0.00355857,1.151,0
window 44,-0.00147619,2.49992,0.0206875,0.183999,0.00336344,2.075,0.00328133
window 45,-0.0061228,2.48046,0.0323347,0.173109,0.00329023,1.968,0.00630369
window 46,-0.0357474,2.48461,0.0366414,0.172266,0.00322785,1.589,0.0083465
window 47,-0.0328123,2.48264,0.0139194,0.18653,0.00343229,1.9,0.00927688
window 48,0.0366712,2.47207,0.0481019,0.219136,0.00363726,1.301,0
window 49,-0.0147363,2.49899,0.0474115,0.213258,0.00363726,1.595,0.00959539
window 50,0.0267829,2.49724,0.0287878,0.188209,0.00360041,1.714,0.00923658
